ISBN10,title,brand,discount,initial_price,final_price
0062841750,I've Loved You Since Forever Board Book,Hoda KotbSuzie Mason,1.8,8.99,7.19
0141439556,Wuthering Heights (Penguin Classics),Emily Brontë,1.81,8.0,6.19
0064431789,Where the Wild Things Are,Maurice Sendak,3.95,8.95,5.0
0062297198,"SuperLife: The 5 Simple Fixes That Will Make You Healthy, Fit, and Eternally Awesome",Darin Olien,7.2,17.99,10.79
9780062300546,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,15.64,27.99,12.35
9780062300553,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,10.14,17.99,7.85
9780062301239,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,15.51,32.5,16.99
006230125X,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,4.0,17.99,13.99
9780061537936,The Art of Racing in the Rain,Garth Stein,11.14,25.99,14.85
9780061537967,The Art of Racing in the Rain: A Novel,Garth Stein,7.0,16.99,9.99
0062315005,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,8.1,16.99,8.89
9780062316097,Sapiens: A Brief History of Humankind,Yuval Noah Harari,8.51,37.5,28.99
9780062316110,Sapiens: A Brief History of Humankind,by Yuval Harari (Author),13.79,24.99,11.2
0062319787,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,Michelle McNamara,4.53,27.99,23.46
0062319795,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,Michelle McNamara,6.77,17.99,11.22
0062868942,The Guest List: A Novel,Lucy Foley,3.9,16.99,13.09
006287067X,The Tattooist of Auschwitz: A Novel,Heather Morris,3.0,27.99,24.99
0142402516,Looking for Alaska,John Green,6.59,12.99,6.4
0142403873,The Gruffalo,Julia Donaldson,3.0,7.99,4.99
014240733X,The Outsiders,S. E. Hinton,5.1,10.99,5.89
0062899147,HarperLuxe The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,8.28,28.99,20.71
0062353594,The Duke and I: The (Bridgertons Book 1),Julia Quinn,4.0,8.99,4.99
006235373X,"To Sir Phillip, With Love (Bridgertons Book 5)",Julia Quinn,4.51,8.99,4.48
0062353780,When He Was Wicked (Bridgertons Book 6),Julia Quinn,4.51,8.99,4.48
0062387243,"Divergent (Divergent Series, 1)",Veronica Roth,4.53,12.99,8.46
014242417X,The Fault in Our Stars,John Green,6.89,12.99,6.1
0062397346,A People's History of the United States,Howard Zinn,8.7,21.99,13.29
0062407805,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris VossTahl Raz,14.51,32.5,17.99
0062420704,"To Kill a Mockingbird, 50th Anniversary Edition",Harper Lee,6.77,27.99,21.22
006242713X,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",by Dr. Steven R Gundry MD (Author),16.09,29.99,13.9
0143110438,A Gentleman in Moscow: A Novel,Amor Towles,8.66,18.0,9.34
0143111396,The Book of Longings: A Novel,Sue Monk Kidd,5.5,17.0,11.5
9780143111580,Dune (Penguin Galaxy),Frank Herbert,8.51,30.0,21.49
9780143119685,A Discovery of Witches (All Souls Series),Deborah Harkness,2.99,18.0,15.01
0143121707,The Invention of Wings,Sue Monk Kidd,4.29,17.0,12.71
0143123629,"Shadow of Night (All Souls Trilogy, Bk 2) (All Souls Series)",Deborah Harkness,2.01,18.0,15.99
9780143125471,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,8.71,18.0,9.29
0143127527,The Book of Life: A Novel (All Souls Series),Deborah Harkness,2.01,18.0,15.99
0143127551,Everything I Never Told You,Celeste Ng,9.75,17.0,7.25
0143127748,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",by Bessel van der Kolk M.D. (Author),7.6,19.0,11.4
0143130722,Ikigai: The Japanese Secret to a Long and Happy Life,Héctor GarcíaFrancesc Miralles,9.01,22.0,12.99
0143131664,Wreck This Journal: Now in Color,Keri Smith,6.41,16.0,9.59
0143134116,The Salt Path: A Memoir,Raynor Winn,2.1,17.0,14.9
0143134760,We Were the Lucky Ones: A Novel,Georgia Hunter,1.2,9.99,8.79
0143136968,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,2.51,9.99,7.48
0151072558,Animal Farm,George Orwell,1.01,18.0,16.99
9780156027328,Life of Pi,Yann Martel,6.96,15.95,8.99
0306846373,Lady in Waiting: My Extraordinary Life in the Shadow of the Crown,Anne Glenconner,2.0,17.99,15.99
0307010856,The Monster at the End of This Book,Jon Stone,2.01,4.99,2.98
0307118398,Just Me and My Dad (Little Critter),Mercer Mayer,0.89,3.99,3.1
0307271080,Americanah: A novel (ALA Notable Books for Adults),Chimamanda Ngozi Adichie,14.81,30.0,15.19
0307283658,Harry Potter and the Half-Blood Prince (Book 6),J.K. Rowling,23.97,75.0,51.03
0307341550,Sharp Objects,Gillian Flynn,6.78,17.0,10.22
0307352145,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,12.53,28.0,15.47
0307352153,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,10.27,18.0,7.73
9780307387899,The Road (Oprah's Book Club),Cormac McCarthy,4.87,16.95,12.08
